"","time","GDP","GDP_change","NPL","NPL_change","Unempl","Unempl_change","HPI","HPI_change","Inflation","Inflation_change","Bonds","Bonds_change","Inter","Inter_change"
"39",2003-03-01,65.3193333333333,0.434626620880514,3,-3.22580645161291,14.4,-4,NA,NA,2.8552780549957,13.9289181656131,0.26,-10.344827586207,NA,NA
"40",2003-04-01,65.602,0.432745792465739,2.9,-3.33333333333332,13.8,-4.16666666666666,NA,NA,3.20436356382405,12.225972465889,0.23,-11.5384615384616,NA,NA
"41",2003-05-01,65.9253333333333,0.492871152302274,2.8,-3.44827586206897,13.4333333333333,-2.65700483091788,NA,NA,3.5534490726524,10.8940668521319,0.2,-13.0434782608695,NA,NA
"42",2003-06-01,66.2486666666667,0.490453846776136,2.7,-3.57142857142857,13.0666666666667,-2.72952853598015,NA,NA,3.90253458148074,9.82385005922652,0.19,-4.9999999999999,NA,NA
"43",2003-07-01,66.572,0.488060137059369,2.6,-3.70370370370371,12.7,-2.8061224489796,NA,NA,4.25162009030909,8.9450971295658,0.15,-21.0526315789474,NA,NA
"44",2003-08-01,66.787,0.322958601213729,2.5,-3.84615384615385,12.7333333333333,0.262467191601049,NA,NA,4.60070559913744,8.21064679847648,0.16,6.66666666666682,NA,NA
"45",2003-09-01,67.002,0.321918936319926,2.4,-3.99999999999999,12.7666666666667,0.261780104712055,NA,NA,4.94979110796578,7.58765153096941,0.15,-6.24999999999986,NA,NA
"46",2003-10-01,67.217,0.320885943703178,2.3,-4.16666666666669,12.8,0.261096605744124,NA,NA,5.29887661679413,7.05253012125214,0.16,6.66666666666651,NA,NA
"47",2003-11-01,67.7116666666667,0.735924939623399,2.2,-4.34782608695651,13,1.56249999999999,NA,NA,5.64796212562248,6.58791540308682,0.16,0,NA,NA
"48",2003-12-01,68.2063333333333,0.730548649912631,2.1,-4.54545454545455,13.2,1.53846153846155,NA,NA,5.99704763445082,6.18073388354871,0.16,0,NA,NA
"49",2004-01-01,68.701,0.725250343320992,2,-4.76190476190477,13.4,1.51515151515151,NA,NA,6.34613314327917,5.82095607883752,0.2,25,NA,NA
"50",2004-02-01,68.891,0.276560748751834,2.01666666666667,0.83333333333333,12.9666666666667,-3.23383084577115,NA,NA,6.23719234253051,-1.71664852106097,0.239999999999999,19.9999999999996,NA,NA
"51",2004-03-01,69.081,0.275797999738735,2.03333333333333,0.826446280991733,12.5333333333333,-3.34190231362468,NA,NA,6.12825154178185,-1.74663205439105,0.26,8.33333333333355,NA,NA
"52",2004-04-01,69.271,0.275039446446921,2.05,0.819672131147538,12.1,-3.45744680851064,NA,NA,6.01931074103318,-1.77768161123794,0.25,-3.84615384615377,NA,NA
"53",2004-05-01,69.4796666666667,0.301232357937193,2.06666666666667,0.81300813008132,11.7333333333333,-3.03030303030303,NA,NA,5.91036994028452,-1.80985507204372,0.24,-3.99999999999991,NA,NA
"54",2004-06-01,69.6883333333333,0.300327673803835,2.08333333333333,0.806451612903223,11.3666666666667,-3.12499999999999,NA,NA,5.80142913953586,-1.84321458469345,0.24,0,NA,NA
"55",2004-07-01,69.897,0.299428407433104,2.1,0.799999999999997,11,-3.22580645161291,NA,NA,5.6924883387872,-1.87782696519116,0.2,-16.6666666666667,NA,NA
"56",2004-08-01,69.7633333333333,-0.191233767782122,2.11666666666667,0.793650793650791,11.3,2.72727272727273,NA,NA,5.58354753803854,-1.9137641443438,0.2,0,NA,NA
"57",2004-09-01,69.6296666666667,-0.191600172010134,2.13333333333333,0.787401574803147,11.6,2.65486725663716,NA,NA,5.47460673728988,-1.95110366673679,0.2,0,NA,NA
"58",2004-10-01,69.496,-0.191967982995759,2.15,0.781250000000018,11.9,2.58620689655173,NA,NA,5.36566593654122,-1.98992924928506,0.22,10,NA,NA
"59",2004-11-01,70.394,1.29216069989639,2.16666666666667,0.77519379844961,11.7333333333333,-1.40056022408963,NA,NA,5.25672513579255,-2.03033140782682,0.19,-13.6363636363635,NA,NA
"60",2004-12-01,71.292,1.27567690428163,2.18333333333333,0.769230769230766,11.5666666666667,-1.42045454545456,NA,NA,5.14778433504389,-2.07240816163078,0.19,-2.3373116307898e-13,NA,NA
"61",2005-01-01,72.19,1.25960837120574,2.2,0.763358778625951,11.4,-1.44092219020172,71.84,NA,5.03884353429523,-2.11626582735877,0.13,-31.5789473684211,NA,NA
"62",2005-02-01,72.631,0.610887934616986,2.2,0,10.9333333333333,-4.09356725146199,72.8633333333333,1.42446176688937,5.22407434915435,3.67605807956537,0.15,15.3846153846154,NA,NA
"63",2005-03-01,73.072,0.607178752874121,2.2,0,10.4666666666667,-4.26829268292683,73.8866666666667,1.40445583055036,5.40930516401346,3.54571551779506,0.22,46.6666666666666,NA,NA
"64",2005-04-01,73.513,0.603514342018834,2.2,0,10,-4.45859872611465,74.91,1.38500406027248,5.59453597887258,3.42429959565607,0.28,27.2727272727273,NA,NA
"65",2005-05-01,73.7116666666667,0.270246985793897,2.2,0,9.73333333333333,-2.66666666666667,75.63,0.961153384060872,5.7797667937317,3.31092365048021,0.3,7.14285714285731,NA,NA
"66",2005-06-01,73.9103333333333,0.269518619847587,2.2,0,9.46666666666667,-2.73972602739725,76.35,0.95200317334391,5.96499760859081,3.20481468318072,0.31,3.33333333333326,NA,NA
"67",2005-07-01,74.109,0.268794169511707,2.2,0,9.2,-2.81690140845071,77.07,0.943025540275048,6.15022842344993,3.1052957103008,0.26,-16.1290322580646,NA,NA
"68",2005-08-01,74.6603333333333,0.743949227939025,2.2,0,9.43333333333333,2.53623188405798,77.69,0.804463474763208,6.33545923830905,3.01177130515768,0.24,-7.69230769230753,NA,NA
"69",2005-09-01,75.2116666666667,0.738455493992812,2.2,0,9.66666666666667,2.47349823321554,78.31,0.798043506242766,6.52069005316816,2.92371567540154,0.23,-4.16666666666676,NA,NA
"70",2005-10-01,75.763,0.733042302834222,2.2,0,9.9,2.41379310344829,78.93,0.791725194738864,6.70592086802728,2.84066277263278,0.21,-8.69565217391305,NA,NA
"71",2005-11-01,75.8473333333333,0.111312030058648,2.2,0,9.83333333333333,-0.673400673400671,80.1766666666667,1.57945859200136,6.8911516828864,2.76219804117085,0.22,4.76190476190466,NA,NA
"72",2005-12-01,75.9316666666667,0.111188264144641,2.2,0,9.76666666666667,-0.677966101694931,81.4233333333333,1.55489959672389,7.07638249774551,2.68795149755768,0.23,4.54545454545466,NA,NA
"73",2006-01-01,76.016,0.111064773151298,2.2,0,9.7,-0.682593856655288,82.67,1.53109264338642,7.26161331260463,2.61759189696332,0.28,21.7391304347827,NA,NA
"74",2006-02-01,76.6973333333333,0.896302532800105,2.19166666666667,-0.378787878787877,9.46666666666667,-2.40549828178693,83.1233333333333,0.548364985282851,7.35668609933721,1.3092515759212,0.3,7.14285714285698,NA,NA
"75",2006-03-01,77.3786666666667,0.888340316047505,2.18333333333333,-0.380228136882128,9.23333333333333,-2.46478873239438,83.5766666666667,0.54537434334523,7.45175888606979,1.292331702737,0.31,3.33333333333341,NA,NA
"76",2006-04-01,78.06,0.880518316848736,2.175,-0.381679389312976,9,-2.52707581227436,84.03,0.542416144857017,7.54683167280237,1.27584357178152,0.34,9.67741935483879,NA,NA
"77",2006-05-01,78.7023333333333,0.822871295584584,2.16666666666667,-0.383141762452106,8.96666666666667,-0.370370370370369,85.3066666666667,1.51929866317585,7.64190445953495,1.25977086616637,0.34,-1.30614473485312e-13,NA,NA
"78",2006-06-01,79.3446666666667,0.816155387176162,2.15833333333333,-0.384615384615383,8.93333333333333,-0.371747211895909,86.5833333333333,1.49656142544544,7.73697724626753,1.24409808099544,0.35,2.94117647058817,NA,NA
"79",2006-07-01,79.987,0.809548215801095,2.15,-0.386100386100385,8.9,-0.373134328358208,87.86,1.47449470644851,7.83205003300011,1.22881047347587,0.32,-8.5714285714284,NA,NA
"80",2006-08-01,80.3456666666667,0.448406199340724,2.14166666666667,-0.387596899224825,8.73333333333333,-1.87265917602996,89.4766666666667,1.84004856210637,7.92712281973269,1.21389401666222,0.31,-3.12499999999993,NA,NA
"81",2006-09-01,80.7043333333333,0.446404493915887,2.13333333333333,-0.389105058365757,8.56666666666667,-1.9083969465649,91.0933333333333,1.80680251834744,8.02219560646527,1.19933535652959,0.31,-2.86509167645201e-13,NA,NA
"82",2006-10-01,81.063,0.444420580472752,2.125,-0.390624999999999,8.4,-1.94552529182879,92.71,1.77473653395784,8.11726839319785,1.18512177209888,0.29,-6.45161290322568,NA,NA
"83",2006-11-01,82.8246666666667,2.17320684734919,2.11666666666667,-0.392156862745097,8.26666666666667,-1.58730158730158,95.5866666666667,3.10286556646173,8.21234117993043,1.17124113836437,0.27,-6.89655172413794,NA,NA
"84",2006-12-01,84.5863333333333,2.12698310487213,2.10833333333333,-0.393700787401573,8.13333333333333,-1.61290322580647,98.4633333333333,3.00948528386108,8.30741396666301,1.15768189179623,0.27,0,NA,NA
"85",2007-01-01,86.348,2.08268475206791,2.1,-0.395256916996046,8,-1.63934426229508,101.34,2.921561325705,8.40248675339559,1.14443299821219,0.260000000000001,-3.70370370370346,9.24666666666667,NA
"86",2007-02-01,85.9053333333333,-0.512654220904558,2.12532554409981,1.20597829046698,7.6,-5,103.15,1.78606670613776,8.73134386437476,3.91380695537876,0.25,-3.8461538461541,9.26666666666667,0.216294160057674
"87",2007-03-01,85.4626666666667,-0.51529590712257,2.15065108819961,1.19160775957894,7.2,-5.26315789473683,104.96,1.7547261269995,9.06020097535394,3.76639743076624,0.26,4.00000000000009,9.22666666666667,-0.431654676258984
"88",2007-04-01,85.02,-0.517964959358474,2.17597663229942,1.17757567644354,6.8,-5.55555555555556,106.77,1.72446646341464,9.38905808633312,3.62968892051899,0.25,-3.84615384615393,9.26666666666667,0.433526011560704
"89",2007-05-01,85.9913333333333,1.14247628009096,2.20130217639923,1.16387022378289,6.73333333333333,-0.980392156862742,109.433333333333,2.49445849333459,9.71791519731229,3.50255699725477,0.23,-8.00000000000018,9.31333333333333,0.50359712230216
"90",2007-06-01,86.9626666666667,1.12957119709738,2.22662772049903,1.15048012814092,6.66666666666667,-0.990099009901,112.096666666667,2.43374961925068,10.0467723082915,3.38402943740577,0.24,4.34782608695682,9.25333333333333,-0.644237652111673
"91",2007-07-01,87.934,1.11695440188893,2.25195326459884,1.13739462895623,6.6,-0.999999999999997,114.76,2.37592554045616,10.3756294192706,3.27326131107574,0.29,20.8333333333332,9.35,1.04466858789624
